"produkt","wc_id","fraza","typ","wolumen","cpc_zl","nasz_url_gsc","pozycja_gsc","wyswietlenia_gsc","klikniecia_gsc","adresow_gsc"
"Kreda czarna (jeziorna)","303","kreda jeziorna","nazwa","320","0.64","/wapno-nawozowe-rolnictwo/kreda-czarna-jeziorna/","29.7","3","0","1"
"Kreda czarna (jeziorna)","303","czarna kreda granulowana","nazwa","140","0.33","/wapnowanie-gleby/","2","4","0","1"
"Kreda czarna (jeziorna)","303","grankal","producent / zakład","110","1.41","","","","",""
"Kreda czarna (jeziorna)","303","czarna kreda dawkowanie","nazwa + dawka","20","","","","","",""
"Kreda czarna (jeziorna)","303","kreda jeziorna dawkowanie","nazwa + dawka","10","","/wapno-nawozowe-rolnictwo/kreda-czarna-jeziorna/","18","1","0","1"
"Kreda czarna (jeziorna)","303","czarna kreda cena","nazwa + cena / forma","70","0.53","/wapno-nawozowe-rolnictwo/kreda-nawozowa-granulowana/","2","1","0","1"
"Kreda czarna (jeziorna)","303","kreda czarna jeziorna","nazwa","<10","","","","","",""
"Kreda czarna (jeziorna)","303","kreda z kwasami humusowymi","nazwa","<10","","","","","",""
"Kreda czarna (jeziorna)","303","czarna kreda z humusem","nazwa","<10","","","","","",""
"Kreda czarna (jeziorna)","303","wapno kredowe czarne","nazwa","<10","","","","","",""
"Kreda czarna (jeziorna)","303","grankal kreda","producent / zakład","<10","","","","","",""
"Kreda czarna (jeziorna)","303","czarna kreda grankal","producent / zakład","<10","","","","","",""
"Kreda czarna (jeziorna)","303","grankal draby","producent / zakład","<10","","","","","",""
"Kreda czarna (jeziorna)","303","czarna kreda do ogrodu","nazwa + zastosowanie","<10","","","","","",""
"Kreda czarna (jeziorna)","303","czarna kreda na trawnik","nazwa + zastosowanie","<10","","","","","",""
"Kreda czarna (jeziorna)","303","czarna kreda na pole","nazwa + zastosowanie","<10","","","","","",""
"Kreda czarna (jeziorna)","303","ile czarnej kredy na hektar","nazwa + dawka","10","","/wapnowanie-gleby/","8.4","41","0","1"
"Kreda czarna (jeziorna)","303","czarna kreda ile na hektar","nazwa + dawka","40","","/wapnowanie-gleby/","9.8","17","0","1"
"Kreda czarna (jeziorna)","303","kreda jeziorna cena","nazwa + cena / forma","40","0.49","/wapno-nawozowe-rolnictwo/kreda-nawozowa-granulowana/","2","1","0","1"
"Kreda czarna (jeziorna)","303","czarna kreda opinie","opinie / porównania","170","","/wapnowanie-gleby/","3","3","0","1"
"Kreda czarna (jeziorna)","303","czarna kreda big bag","nazwa + cena / forma","<10","","","","","",""
"Kreda czarna (jeziorna)","303","czarna kreda 25 kg","nazwa + cena / forma","<10","","","","","",""
"Kreda czarna (jeziorna)","303","czarna kreda czy wapno","opinie / porównania","<10","","","","","",""
"Kreda czarna (jeziorna)","303","kreda czarna czy biała","opinie / porównania","<10","","","","","",""
"Kreda malarska","304","kreda malarska","nazwa","320","0.39","/kreda-malarska/kreda-malarska/","7.9","86","0","2"
"Kreda malarska","304","kreda malarska 30 kg","nazwa","40","0.34","/kreda-malarska/kreda-malarska/","20","1","0","1"
"Kreda malarska","304","kreda techniczna","nazwa","90","0.67","","","","",""
"Kreda malarska","304","kreda malarska w ogrodnictwie","nazwa + zastosowanie","20","0.11","/kreda-malarska/kreda-malarska/","8.9","24","0","1"
"Kreda malarska","304","kreda malarska cena","nazwa + cena","10","0.25","","","","",""
"Kreda malarska","304","kreda malarska castorama","nazwa + cena","90","0.53","","","","",""
"Kreda malarska","304","kreda malarska gdzie kupić","nazwa + cena","20","0.12","/kreda-malarska/kreda-malarska/","5","1","0","1"
"Kreda malarska","304","kreda malarska sypka","nazwa","<10","","","","","",""
"Kreda malarska","304","kreda malarska do bielenia","nazwa + zastosowanie","<10","","","","","",""
"Kreda malarska","304","kreda malarska do drzew","nazwa + zastosowanie","<10","","","","","",""
"Kreda malarska","304","bielenie drzew kredą","nazwa + zastosowanie","<10","","","","","",""
"Kreda malarska","304","kreda malarska do ogrodu","nazwa + zastosowanie","<10","","","","","",""
"Kreda malarska","304","kreda malarska na ściany","nazwa + zastosowanie","<10","","","","","",""
"Kreda malarska","304","kreda malarska do farby","nazwa + zastosowanie","<10","","","","","",""
"Kreda malarska","304","kreda malarska na trawnik","nazwa + zastosowanie","<10","","","","","",""
"Kreda malarska","304","kreda malarska do malowania","nazwa + zastosowanie","<10","","","","","",""
"Kreda malarska","304","kreda malarska proporcje","nazwa + dawka","<10","","","","","",""
"Kreda malarska","304","jak rozrobić kredę malarską","nazwa + dawka","<10","","","","","",""
"Kreda malarska","304","kreda malarska lhoist","producent","<10","","","","","",""
"Kreda malarska","304","kreda do bielenia","rodzaj ogólny","<10","","","","","",""
"Kreda malarska","304","kreda pylista","rodzaj ogólny","20","0.42","","","","",""
"Kreda malarska","304","mączka kredowa","rodzaj ogólny","<10","","","","","",""
"Kreda malarska","304","kreda malarska czy wapno","porównania","<10","","","","","",""
"Kreda malarska","304","kreda malarska a wapno do bielenia","porównania","<10","","","","","",""
"Kreda malarska","304","kreda malarska a kreda nawozowa","porównania","<10","","","","","",""
"Kreda nawozowa granulowana","305","kreda nawozowa granulowana","nazwa / marka","140","1.08","/wapno-nawozowe-rolnictwo/kreda-nawozowa-granulowana/","12.4","11","0","1"
"Kreda nawozowa granulowana","305","kreda granulowana","nazwa / marka","480","0.86","/wapno-nawozowe-rolnictwo/kreda-nawozowa-granulowana/","20.8","5","0","2"
"Kreda nawozowa granulowana","305","kreda granulowana nawozowa","nazwa / marka","20","0.5","/wapnowanie-gleby/","2","2","0","2"
"Kreda nawozowa granulowana","305","wapno kredowe granulowane","nazwa / marka","260","0.46","/wapnowanie-gleby/","2.4","9","0","1"
"Kreda nawozowa granulowana","305","kreda nawozowa","nazwa / marka","1000","0.3","/wapno-nawozowe-rolnictwo/kreda-nawozowa-granulowana/","23.9","38","0","3"
"Kreda nawozowa granulowana","305","kreda rolnicza","nazwa / marka","30","0.87","/wapno-nawozowe-rolnictwo/kreda-nawozowa-granulowana/","33","1","0","1"
"Kreda nawozowa granulowana","305","wapniak kornicki","nazwa / marka","720","0.75","/wapnowanie-gleby/","3","1","0","1"
"Kreda nawozowa granulowana","305","kornica kreda","producent / zakład","20","","","","","",""
"Kreda nawozowa granulowana","305","kreda kornica","producent / zakład","50","1.88","","","","",""
"Kreda nawozowa granulowana","305","kzk kornica","producent / zakład","30","0.53","","","","",""
"Kreda nawozowa granulowana","305","wapno kornica","producent / zakład","20","0.54","","","","",""
"Kreda nawozowa granulowana","305","kreda do stawu","nazwa + zastosowanie","1300","0.88","","","","",""
"Kreda nawozowa granulowana","305","kreda do odkwaszania gleby","nazwa + zastosowanie","20","0.47","/wapno-nawozowe-rolnictwo/kreda-nawozowa-granulowana/","19","2","0","1"
"Kreda nawozowa granulowana","305","kreda nawozowa zastosowanie","nazwa + zastosowanie","10","","","","","",""
"Kreda nawozowa granulowana","305","kreda granulowana ile na hektar","nazwa + dawka","30","","/wapnowanie-gleby/","7.0","111","0","2"
"Kreda nawozowa granulowana","305","kreda nawozowa granulowana dawkowanie","nazwa + dawka","10","","/wapno-nawozowe-rolnictwo/kreda-nawozowa-granulowana/","5.3","7","0","1"
"Kreda nawozowa granulowana","305","kreda granulowana dawkowanie","nazwa + dawka","20","","/wapnowanie-gleby/","3","2","0","1"
"Kreda nawozowa granulowana","305","kreda granulowana do stawu","nazwa + zastosowanie","50","1.71","","","","",""
"Kreda nawozowa granulowana","305","kreda granulowana do sadu","nazwa + zastosowanie","<10","","","","","",""
"Kreda nawozowa granulowana","305","ile kredy granulowanej na hektar","nazwa + dawka","10","4.06","/wapnowanie-gleby/","7","39","0","1"
"Kreda nawozowa granulowana","305","ile kredy nawozowej na hektar","nazwa + dawka","10","","/wapnowanie-gleby/","5.4","27","1","2"
"Kreda nawozowa granulowana","305","kreda nawozowa dawkowanie","nazwa + dawka","70","0.58","/wapnowanie-gleby/","6.2","89","1","2"
"Kreda nawozowa granulowana","305","ile kredy na hektar","nazwa + dawka","110","3.49","/wapnowanie-gleby/","8.9","246","2","2"
"Kreda nawozowa granulowana","305","kreda nawozowa granulowana cena","nazwa + cena / forma","30","0.64","/wapno-nawozowe-rolnictwo/kreda-nawozowa-granulowana/","5.4","26","0","2"
"Kreda nawozowa granulowana","305","kreda granulowana cena","nazwa + cena / forma","20","0.39","/wapnowanie-gleby/","2","1","0","1"
"Kreda nawozowa granulowana","305","kreda nawozowa cena","nazwa + cena / forma","50","0.18","/wapno-nawozowe-rolnictwo/kreda-nawozowa-granulowana/","2","3","0","2"
"Kreda nawozowa granulowana","305","cena kredy nawozowej","nazwa + cena / forma","20","0.1","/wapno-nawozowe-rolnictwo/kreda-nawozowa-granulowana/","10","8","0","2"
"Kreda nawozowa granulowana","305","kreda granulowana big bag","nazwa + cena / forma","90","0.52","","","","",""
"Kreda nawozowa granulowana","305","wapno kredowe","rodzaj ogólny","590","0.48","/wapnowanie-gleby/","2","3","1","1"
"Kreda nawozowa granulowana","305","wapno węglanowe granulowane","rodzaj ogólny","390","0.58","/wapno-nawozowe-rolnictwo/weglanowe-granulowane/","21.8","143","0","3"
"Kreda nawozowa granulowana","305","kreda czy wapno","porównania","20","","","","","",""
"Kreda nawozowa granulowana","305","kreda nawozowa ile na hektar","nazwa + dawka","10","","/wapnowanie-gleby/","2.5","22","0","2"
"Kreda nawozowa granulowana","305","wapno kredowe granulowane ile na hektar","nazwa + dawka","10","5.5","/wapnowanie-gleby/","7.3","105","0","1"
"Kreda nawozowa granulowana","305","kreda granulowana 25 kg","nazwa + cena / forma","10","0.43","","","","",""
"Kreda nawozowa granulowana","305","kreda nawozowa cena za tonę","nazwa + cena / forma","30","0.64","/wapno-nawozowe-rolnictwo/kreda-nawozowa-sypka/","18","1","0","1"
"Kreda nawozowa granulowana","305","kreda węglanowa","rodzaj ogólny","10","0.16","","","","",""
"Kreda nawozowa granulowana","305","kreda granulowana czy sypka","porównania","<10","","","","","",""
"Kreda nawozowa granulowana","305","kreda nawozowa czy dolomit","porównania","<10","","","","","",""
"Kreda nawozowa sypka","306","kreda nawozowa sypka","nazwa","40","0.17","/wapno-nawozowe-rolnictwo/","8.1","62","0","3"
"Kreda nawozowa sypka","306","kreda sypka","nazwa","20","0.43","/wapno-nawozowe-rolnictwo/kreda-nawozowa-sypka/","5","6","0","2"
"Kreda nawozowa sypka","306","wapno kredowe sypkie","nazwa","50","0.54","/wapnowanie-gleby/","2","1","0","1"
"Kreda nawozowa sypka","306","kreda nawozowa luzem","nazwa","20","0.39","/wapnowanie-gleby/","2","1","0","1"
"Kreda nawozowa sypka","306","kreda nawozowa 06a","odmiana","10","0.37","","","","",""
"Kreda nawozowa sypka","306","kreda 06a","odmiana","50","0.64","/wapnowanie-gleby/","5","1","0","1"
"Kreda nawozowa sypka","306","kopalnia drugnia","producent / zakład","40","","","","","",""
"Kreda nawozowa sypka","306","kreda sypka nawozowa","nazwa","<10","","","","","",""
"Kreda nawozowa sypka","306","kreda luzem","nazwa","10","2.1","","","","",""
"Kreda nawozowa sypka","306","kreda nawozowa odmiana 06","odmiana","<10","","","","","",""
"Kreda nawozowa sypka","306","wapno nawozowe odmiana 06","odmiana","<10","","","","","",""
"Kreda nawozowa sypka","306","drugnia kreda","producent / zakład","<10","","","","","",""
"Kreda nawozowa sypka","306","kreda pierzchnica","producent / zakład","<10","","","","","",""
"Kreda nawozowa sypka","306","wapno pierzchnica","producent / zakład","<10","","","","","",""
"Kreda nawozowa sypka","306","kreda sypka do stawu","nazwa + zastosowanie","<10","","","","","",""
"Kreda nawozowa sypka","306","kreda sypka ile na hektar","nazwa + dawka","<10","","","","","",""
"Kreda nawozowa sypka","306","kreda nawozowa sypka dawkowanie","nazwa + dawka","<10","","","","","",""
"Kreda nawozowa sypka","306","kreda nawozowa sypka cena","nazwa + cena","<10","","","","","",""
"Kreda nawozowa sypka","306","kreda sypka cena","nazwa + cena","<10","","","","","",""
"Kreda nawozowa sypka","306","kreda luzem cena","nazwa + cena","<10","","","","","",""
"Kreda nawozowa sypka","306","wapno węglanowe sypkie","rodzaj ogólny","20","1.32","/wapno-nawozowe-rolnictwo/weglanowe-magnez-odmiana-05/","8","6","0","2"
