typ	url	kod	skoki	cel	robots	canonical	title	h1
KATHIST	/kategoria-produktu/	301	1	https://agria.pl/oferta/?cb=17087 -> 200 https://agria.pl/oferta/?cb=17087				
PROD	/wapno-nawozowe-rolnictwo/dolomit/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/wapno-nawozowe-rolnictwo/dolomit/	Dolomit | Nawóz wapniowo-magnezowy AGRIA	Dolomit
PROD	/wapno-nawozowe-rolnictwo/kreda-czarna-jeziorna/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/wapno-nawozowe-rolnictwo/kreda-czarna-jeziorna/	kreda czarna jeziorna kwasy humusowe CaO 44% | AGRIA	Kreda czarna(jeziorna) z kwasami  humusowymi i węglem organicznym
PROD	/kreda-malarska/kreda-malarska/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/kreda-malarska/kreda-malarska/	Kreda malarska min. 53% CaO | AGRIA	Kreda malarska
PROD	/wapno-nawozowe-rolnictwo/kreda-nawozowa-granulowana/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/wapno-nawozowe-rolnictwo/kreda-nawozowa-granulowana/	Kreda nawozowa granulowana 50% CaO | AGRIA	Kreda nawozowa granulowana
PROD	/wapno-nawozowe-rolnictwo/kreda-nawozowa-sypka/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/wapno-nawozowe-rolnictwo/kreda-nawozowa-sypka/	Kreda nawozowa sypka min. 50% CaO | AGRIA	Kreda nawozowa sypka
PROD	/paszarstwo/kreda-pastewna/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/paszarstwo/kreda-pastewna/	Kreda pastewna | AGRIA	Kreda pastewna
PROD	/wapno-nawozowe-rolnictwo/mieszanka-tlenkowo-weglanowa/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/wapno-nawozowe-rolnictwo/mieszanka-tlenkowo-weglanowa/	Mieszanka tlenkowo-węglanowa do odkwaszania gleb | AGRIA	Mieszanka tlenkowo-węglanowa
PROD	/wapno-hydratyzowane/bielik/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/wapno-hydratyzowane/bielik/	Wapno hydratyzowane Bielik CL 90-S | CaO+MgO 90% | AGRIA	Wapno hydratyzowane Bielik
PROD	/wapno-nawozowe-rolnictwo/agrobielik-70/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/wapno-nawozowe-rolnictwo/agrobielik-70/	Wapno nawozowe tlenkowe Agrobielik 70 70% CaO | AGRIA	Wapno nawozowe tlenkowe Agrobielik 70
PROD	/wapno-nawozowe-rolnictwo/agrobielik-90/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/wapno-nawozowe-rolnictwo/agrobielik-90/	Wapno nawozowe tlenkowe Agrobielik 90 – CaO min. 90% | AGRIA	Wapno nawozowe tlenkowe Agrobielik 90
PROD	/wapno-nawozowe-rolnictwo/oxyfertil-90/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/wapno-nawozowe-rolnictwo/oxyfertil-90/	Wapno nawozowe tlenkowe Oxyfertil 90 | Odkwaszanie | AGRIA	Wapno nawozowe tlenkowe Oxyfertil 90
PROD	/wapno-nawozowe-rolnictwo/wapno-tlenkowe-magnez/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/wapno-nawozowe-rolnictwo/wapno-tlenkowe-magnez/	Wapno nawozowe tlenkowe zawierające magnez | AGRIA	Wapno nawozowe tlenkowe zawierające magnez
PROD	/wapno-nawozowe-rolnictwo/weglanowe-granulowane/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/wapno-nawozowe-rolnictwo/weglanowe-granulowane/	Wapno nawozowe węglanowe bez magnezu granulowane | AGRIA	Wapno nawozowe węglanowe bez magnezu granulowane
PROD	/wapno-nawozowe-rolnictwo/weglanowe-odmiana-04/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/wapno-nawozowe-rolnictwo/weglanowe-odmiana-04/	Wapno węglanowe bez magnezu (min. 50% CaO) | AGRIA	Wapno nawozowe węglanowe bez magnezu — Odmiana 04
PROD	/wapno-nawozowe-rolnictwo/weglanowe-odmiana-05/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/wapno-nawozowe-rolnictwo/weglanowe-odmiana-05/	Wapno węglanowe bez magnezu Odmiana 05 | AGRIA	Wapno nawozowe węglanowe bez magnezu — Odmiana 05
PROD	/wapno-nawozowe-rolnictwo/weglanowe-magnez-granulowane/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/wapno-nawozowe-rolnictwo/weglanowe-magnez-granulowane/	Wapno nawozowe węglanowe zawierające magnez | AGRIA	Wapno nawozowe węglanowe zawierające magnez granulowane
PROD	/wapno-nawozowe-rolnictwo/weglanowe-magnez-odmiana-04/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/wapno-nawozowe-rolnictwo/weglanowe-magnez-odmiana-04/	Wapno nawozowe węglanowe zawierające magnez | AGRIA	Wapno nawozowe węglanowe zawierające magnez — Odmiana 04
PROD	/wapno-nawozowe-rolnictwo/weglanowe-magnez-odmiana-05/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/wapno-nawozowe-rolnictwo/weglanowe-magnez-odmiana-05/	Wapno nawozowe węglanowe zawierające magnez — Odmiana 05 | AGRIA	Wapno nawozowe węglanowe zawierające magnez — Odmiana 05
PROD	/wapno-do-oczyszczalni/wapno-palone-mielone/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/wapno-do-oczyszczalni/wapno-palone-mielone/	Wapno palone mielone wysokoreaktywne | AGRIA	Wapno palone mielone wysokoreaktywne
STR	/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/	Wapno nawozowe, hydratyzowane i palone – AGRIA Sp. z o.o.	Nawozy wapniowe i&nbsp;surowce przemysłowe
STR	/oferta/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/oferta/	Wapno nawozowe, palone i hydratyzowane — oferta | AGRIA	Oferta AGRIA – wapno, cement i kruszywo
STR	/kontakt/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/kontakt/	Kontakt — AGRIA Sp. z o.o. | Tarnów, Niedomice, Radgoszcz	Kontakt
STR	/o-firmie/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/o-firmie/	O firmie AGRIA — surowce wapniowe od 1989 r. | Tarnów	O&nbsp;firmie
STR	/poradniki/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/poradniki/	Poradniki — wapnowanie gleby, dawki, dobór wapna | AGRIA	Poradniki
STR	/kalkulator-wapnowania/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/kalkulator-wapnowania/	Kalkulator wapnowania — policz dawkę i tonaż | AGRIA	Kalkulator wapnowania
STR	/do-pobrania/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/do-pobrania/	Do pobrania — karty produktów i katalog | AGRIA	Do&nbsp;pobrania
STR	/rodo/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/rodo/	RODO - AGRIA Sp. z o.o. – Wapno nawozowe i budowlane	RODO
STR	/wsparcie/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/wsparcie/	Wsparcie techniczne — dobór wapna | AGRIA	Wsparcie
STR	/zamowienia/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/zamowienia/	Zamówienia - AGRIA Sp. z o.o. – Wapno nawozowe i budowlane	Zamówienia
STR	/wapno-do-stabilizacji-gruntow/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/wapno-do-stabilizacji-gruntow/	Wapno do stabilizacji gruntów — wapno palone CL 90-Q | AGRIA	Wapno do&nbsp;stabilizacji gruntów
STR	/wapno-granulowane/	200	0		noindex, follow		Wapno granulowane – nawozowe i z magnezem, big-bag i luz | AGRIA	Wapno granulowane
STR	/wapno-nawozowe/	200	0		noindex, follow		Wapno nawozowe – tlenkowe i węglanowe, luz i big-bag | AGRIA	Wapno nawozowe
STR	/wapno-do-stawu/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/wapno-do-stawu/	Wapno do stawu — kreda i dawki od 125 zł/t | AGRIA	Wapno i&nbsp;kreda do&nbsp;stawu —&nbsp;dobór, dawki, ceny
STR	/polityka-plikow-cookies-eu/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/polityka-plikow-cookies-eu/	Polityka plików cookies (EU) - AGRIA Sp. z o.o. – Wapno nawozowe i budowlane	Polityka plików cookies (EU)
STR	/oswiadczenie-o-ochronie-prywatnosci-eu/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/oswiadczenie-o-ochronie-prywatnosci-eu/	Oświadczenie o ochronie prywatności (EU) - AGRIA Sp. z o.o. – Wapno nawozowe i budowlane	Oświadczenie o&nbsp;ochronie prywatności (EU)
STR	/cart/	302	1	https://agria.pl/ -> 200 https://agria.pl/				
WPIS	/wapnowanie-gleby/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/wapnowanie-gleby/	Ile wapna na hektar? Tabela dawek i kalkulator | AGRIA	Wapnowanie gleby – kiedy, ile i&nbsp;jakie wapno stosować
WPIS	/czy-wapnowac-czy-nie-wapnowac-stawy-karpiowe/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/czy-wapnowac-czy-nie-wapnowac-stawy-karpiowe/	Wapnowanie stawów karpiowych – kiedy i ile stosować	Czy&nbsp;wapnować czy&nbsp;nie&nbsp;wapnować stawy karpiowe?
WPIS	/cement-czym-jest-jak-powstaje-i-jakie-sa-jego-klasy/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/cement-czym-jest-jak-powstaje-i-jakie-sa-jego-klasy/	Cement – rodzaje, klasy i zastosowanie | poradnik	Cement – czym jest, jak powstaje i&nbsp;jakie są&nbsp;jego klasy?
WPIS	/jak-murowac-klinkier/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/jak-murowac-klinkier/	Jak murować klinkier – zasady murowania klinkieru	Jak murować z&nbsp;cegły klinkierowej – zasady bez&nbsp;wykwitów
WPIS	/wykwity-na-murze/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/wykwity-na-murze/	Wykwity na murze – jak powstają i jak je ograniczyć	Wykwity – jak powstają i&nbsp;skąd się biorą na&nbsp;murze?
WPIS	/tynki-rodzaje-kategorie/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/tynki-rodzaje-kategorie/	Tynki – rodzaje, kategorie i wykonanie tynków	Tynki – rodzaje, kategorie i&nbsp;zasady wykonania
WPIS	/wapno-nawozowe-na-trawnik/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/wapno-nawozowe-na-trawnik/	Wapno nawozowe na trawnik – kiedy, ile i jakie | AGRIA	Wapno nawozowe na&nbsp;trawnik – kiedy, ile i&nbsp;jakie stosować
WPIS	/jak-stosowac-wapno-nawozowe/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/jak-stosowac-wapno-nawozowe/	Kiedy wapnować pole? Terminy, technika i błędy | AGRIA	Kiedy wapnować pole? Terminy, technika i&nbsp;błędy
WPIS	/higienizacja-osadow-sciekowych-wapnem/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/higienizacja-osadow-sciekowych-wapnem/	Higienizacja osadów ściekowych wapnem — dobór i dawki | AGRIA	Higienizacja i&nbsp;stabilizacja osadów ściekowych wapnem
WPIS	/ile-wapna-granulowanego-na-ha/	301	1	https://agria.pl/wapnowanie-gleby/ -> 200 https://agria.pl/wapnowanie-gleby/				
WPIS	/category/poradniki/	200	0		index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large	https://agria.pl/category/poradniki/	Poradniki - AGRIA Sp. z o.o. – Wapno nawozowe i budowlane	
